phase,reuse,replicate,variant,curve_index,x,seed,samples,estimate,exact,error,empirical_stderr
1,10,0,point_short_uniform,0,-2.0,13147553691883606761,10000,-0.8896601098998026,-0.8884494598171035,-0.0012106500826990496,0.0012409027398875227
1,10,0,point_short_uniform,0,-1.0,13147553691883606762,10000,-0.7462299104899109,-0.7455466141264027,-0.0006832963635082789,0.0007586378976141998
1,10,0,point_short_uniform,0,0.0,13147553691883606763,10000,-0.5174636189841997,-0.5187412158785353,0.0012775968943355975,0.0005753450201466811
1,10,0,point_short_uniform,0,1.0,13147553691883606764,10000,-0.2835713129649378,-0.28394020618429017,0.00036889321935235087,0.0004858288317367508
1,10,0,point_short_uniform,0,2.0,13147553691883606765,10000,-0.12713097869987258,-0.1273050380753717,0.00017405937549910822,0.0002706775078357025
1,10,0,point_short_uniform,1,-2.0,10095376568437084079,10000,-0.8891418720040296,-0.8884494598171035,-0.0006924121869260613,0.001276318016826928
1,10,0,point_short_uniform,1,-1.0,10095376568437084080,10000,-0.744373166503041,-0.7455466141264027,0.0011734476233616897,0.0007649375480511995
1,10,0,point_short_uniform,1,0.0,10095376568437084081,10000,-0.5183092692685315,-0.5187412158785353,0.0004319466100037861,0.0005691050110411944
1,10,0,point_short_uniform,1,1.0,10095376568437084082,10000,-0.2832001066021319,-0.28394020618429017,0.0007400995821582601,0.00048007080575967836
1,10,0,point_short_uniform,1,2.0,10095376568437084083,10000,-0.12708092583855882,-0.1273050380753717,0.0002241122368128734,0.0002640697867965762
1,10,0,point_short_uniform,2,-2.0,840051268051346022,10000,-0.8885433306976412,-0.8884494598171035,-9.387088053769421e-05,0.0012822229839355498
1,10,0,point_short_uniform,2,-1.0,840051268051346023,10000,-0.7462996249314973,-0.7455466141264027,-0.0007530108050946005,0.0007554373594300007
1,10,0,point_short_uniform,2,0.0,840051268051346024,10000,-0.5184134486473913,-0.5187412158785353,0.00032776723114402717,0.0005683975976493537
1,10,0,point_short_uniform,2,1.0,840051268051346025,10000,-0.28464536067371166,-0.28394020618429017,-0.000705154489421489,0.0004770177808132109
1,10,0,point_short_uniform,2,2.0,840051268051346026,10000,-0.1274528651246158,-0.1273050380753717,-0.00014782704924409806,0.0002660639389206622
1,10,0,point_short_uniform,3,-2.0,11595867455724212473,10000,-0.8882212651275109,-0.8884494598171035,0.00022819468959267564,0.0012780923860200518
1,10,0,point_short_uniform,3,-1.0,11595867455724212474,10000,-0.7452857545213019,-0.7455466141264027,0.00026085960510080497,0.0007419277479906693
1,10,0,point_short_uniform,3,0.0,11595867455724212475,10000,-0.5184783235677607,-0.5187412158785353,0.0002628923107745873,0.0005680741204603916
1,10,0,point_short_uniform,3,1.0,11595867455724212476,10000,-0.2842806963758849,-0.28394020618429017,-0.00034049019159471117,0.0004809563827672833
1,10,0,point_short_uniform,3,2.0,11595867455724212477,10000,-0.1273201474112573,-0.1273050380753717,-1.5109335885610253e-05,0.0002642270325361049
1,10,0,point_short_uniform,4,-2.0,17684518997552701525,10000,-0.8885637112141467,-0.8884494598171035,-0.00011425139704313025,0.0012719119746529386
1,10,0,point_short_uniform,4,-1.0,17684518997552701526,10000,-0.7463799807706448,-0.7455466141264027,-0.0008333666442421617,0.0007510644791576683
1,10,0,point_short_uniform,4,0.0,17684518997552701527,10000,-0.5179899717374771,-0.5187412158785353,0.0007512441410582049,0.0005653452472557119
1,10,0,point_short_uniform,4,1.0,17684518997552701528,10000,-0.2837930742205473,-0.28394020618429017,0.00014713196374288584,0.0004838614050968431
1,10,0,point_short_uniform,4,2.0,17684518997552701529,10000,-0.12698376160541003,-0.1273050380753717,0.00032127646996166215,0.0002615949414625841
1,10,0,point_short_uniform,5,-2.0,9851349255944674133,10000,-0.8872097718836675,-0.8884494598171035,0.0012396879334360955,0.0013026568331001508
1,10,0,point_short_uniform,5,-1.0,9851349255944674134,10000,-0.7461757519129816,-0.7455466141264027,-0.000629137786578915,0.0007235741393569585
1,10,0,point_short_uniform,5,0.0,9851349255944674135,10000,-0.5185098002435335,-0.5187412158785353,0.00023141563500173046,0.0005645920667781345
1,10,0,point_short_uniform,5,1.0,9851349255944674136,10000,-0.2842571513248532,-0.28394020618429017,-0.0003169451405630186,0.0004803043720506506
1,10,0,point_short_uniform,5,2.0,9851349255944674137,10000,-0.126995611361795,-0.1273050380753717,0.00030942671357669926,0.0002675439075244272
1,10,0,point_short_uniform,6,-2.0,6145141457076262344,10000,-0.8871356950774245,-0.8884494598171035,0.0013137647396790353,0.0012985898626269956
1,10,0,point_short_uniform,6,-1.0,6145141457076262345,10000,-0.7459018206141025,-0.7455466141264027,-0.00035520648769982177,0.0007453837753802413
1,10,0,point_short_uniform,6,0.0,6145141457076262346,10000,-0.5201455185848561,-0.5187412158785353,-0.001404302706320859,0.0005719634829777167
1,10,0,point_short_uniform,6,1.0,6145141457076262347,10000,-0.2837226892912475,-0.28394020618429017,0.00021751689304266852,0.0004916254904208364
1,10,0,point_short_uniform,6,2.0,6145141457076262348,10000,-0.1273890826046523,-0.1273050380753717,-8.404452928059691e-05,0.00026901597093024945
1,10,0,point_short_uniform,7,-2.0,12099824638024925599,10000,-0.8868016064645488,-0.8884494598171035,0.0016478533525547956,0.001333683814499013
1,10,0,point_short_uniform,7,-1.0,12099824638024925600,10000,-0.7450427997849125,-0.7455466141264027,0.0005038143414901608,0.0007581437868940235
1,10,0,point_short_uniform,7,0.0,12099824638024925601,10000,-0.5189518409465349,-0.5187412158785353,-0.00021062506799962577,0.000566107205787856
1,10,0,point_short_uniform,7,1.0,12099824638024925602,10000,-0.2839877912577084,-0.28394020618429017,-4.758507341823259e-05,0.0004812498509603666
1,10,0,point_short_uniform,7,2.0,12099824638024925603,10000,-0.12762106676023352,-0.1273050380753717,-0.0003160286848618299,0.00026958627782951313
1,10,0,point_short_uniform,8,-2.0,13290371892730928756,10000,-0.887985608578493,-0.8884494598171035,0.00046385123861059085,0.0012708600169319241
1,10,0,point_short_uniform,8,-1.0,13290371892730928757,10000,-0.7458992556746592,-0.7455466141264027,-0.00035264154825653815,0.0007313178868701872
1,10,0,point_short_uniform,8,0.0,13290371892730928758,10000,-0.5174234501145032,-0.5187412158785353,0.0013177657640320861,0.0005773231360250978
1,10,0,point_short_uniform,8,1.0,13290371892730928759,10000,-0.28419553165972966,-0.28394020618429017,-0.000255325475439494,0.0004780654611454199
1,10,0,point_short_uniform,8,2.0,13290371892730928760,10000,-0.12672316810019987,-0.1273050380753717,0.000581869975171817,0.00026851352461886236
1,10,0,point_short_uniform,9,-2.0,4228180373149937117,10000,-0.8882123823781177,-0.8884494598171035,0.00023707743898582212,0.001247863000590227
1,10,0,point_short_uniform,9,-1.0,4228180373149937118,10000,-0.7458973408480118,-0.7455466141264027,-0.0003507267216091847,0.0007923290494930243
1,10,0,point_short_uniform,9,0.0,4228180373149937119,10000,-0.5179163717477248,-0.5187412158785353,0.0008248441308105203,0.0005652225285065958
