phase,reuse,variant,rate,samples_per_point,workloads,requested_curves,aggregate_mse,aggregate_rmse,median_rmse,q25_rmse,q75_rmse,min_rmse,max_rmse,median_accounted_total_seconds,min_accounted_total_seconds,max_accounted_total_seconds,median_solve_seconds,min_solve_seconds,max_solve_seconds,median_per_curve_seconds,min_per_curve_seconds,max_per_curve_seconds,predicted_total_seconds,median_cost_ratio_to_predicted,mse_ratio_to_default_uniform,rmse_ratio_to_default_uniform,mse_ratio_to_point_short_uniform,rmse_ratio_to_point_short_uniform,mse_ratio_to_grid_short_uniform,rmse_ratio_to_grid_short_uniform
1,1,default_uniform,1.0,10000,20,20,6.927603611669167e-07,0.0008323222700173994,0.0007275446056341603,0.0005244696084292693,0.0009227015200373133,0.000375112686374995,0.0014680338895104244,0.06664512434508651,0.06615308276377618,0.06841508275829256,0.06663541647139937,0.06614337489008904,0.06840537488460541,0.06664512434508651,0.06615308276377618,0.06841508275829256,,,1.0,1.0,1.1522710829727159,1.073438905095542,1.2720257838488611,1.1278412050678328
1,1,point_short_uniform,0.75,10000,20,20,6.012130056927935e-07,0.0007753792657098805,0.0007066046620992806,0.0005271556858978404,0.0008497502207966732,0.00023340075492145443,0.0015399114564211274,0.06577783415559679,0.06529287504963577,0.06841037515550852,0.06577233399730176,0.06528737489134073,0.06840487499721348,0.06577783415559679,0.06529287504963577,0.06841037515550852,,,0.8678513370483312,0.9315853890268627,1.0,1.0,1.1039292772731857,1.0506803877836426
1,1,point_selected_uniform,0.7305486297108235,10000,20,20,5.774937289026667e-07,0.0007599300815882121,0.0006323775228834632,0.00041766420969061675,0.0008501464086038052,0.00018119574431684223,0.0014867238007064566,0.12201801990158856,0.12132524885237217,0.12360612396150827,0.06819122890010476,0.06749845785088837,0.06977933296002448,0.12201801990158856,0.12132524885237217,0.12360612396150827,,,0.8336125466675234,0.9130238478087652,0.9605476319282308,0.9800753195179597,1.0603766531010017,1.0297459167683074
1,1,grid_short_uniform,0.47496956016576375,10000,20,20,5.446118859877048e-07,0.0007379782422183629,0.0006118854160314773,0.0005471870786438272,0.0008245131540580955,0.00041448721258112247,0.001278389934640453,0.06480695854406804,0.06409241701476276,0.06913416692987084,0.0647631665924564,0.06404862506315112,0.0690903749782592,0.06480695854406804,0.06409241701476276,0.06913416692987084,,,0.7861475865483065,0.8866496413738103,0.9058551309284041,0.9517642202396579,1.0,1.0
1,1,grid_selected_uniform,0.49226499651590583,10000,20,20,3.52158069464591e-07,0.000593429077029927,0.0005820428128660207,0.00044143356990256055,0.0006899600230225627,0.0002449050251878227,0.0008571971983884575,0.33490854094270617,0.33407437382265925,0.33634887379594147,0.06481745804194361,0.0639832909218967,0.06625779089517891,0.33490854094270617,0.33407437382265925,0.33634887379594147,,,0.508340386091664,0.7129799338632637,0.5857459272006101,0.7653403995612736,0.6466220780802815,0.8041281477975271
1,10,default_uniform,1.0,10000,20,200,8.233926444799586e-07,0.0009074098547403807,0.0008904280470383249,0.0008028927131556152,0.000977027025934396,0.0006458120974825297,0.0012331784732475396,0.6669772926252335,0.6599565839860588,0.8191934581845999,0.6669675847515464,0.6599468761123717,0.8191837503109127,0.06669772926252335,0.06599565839860588,0.08191934581845998,,,1.0,1.0,1.536475007455691,1.239546290969277,1.8842086709571257,1.3726648064830416
1,10,point_short_uniform,0.75,10000,20,200,5.358971935661008e-07,0.0007320499938980266,0.0006868464119407662,0.0006552308215501292,0.0007587713375506599,0.0005362068664805215,0.001128984787456149,0.657526480499655,0.6537919593974948,0.6702617492992431,0.65752098034136,0.6537864592391998,0.6702562491409481,0.0657526480499655,0.06537919593974947,0.06702617492992431,,,0.6508403945053028,0.8067467970220289,1.0,1.0,1.226319114736048,1.107392936015057
1,10,point_selected_uniform,0.7305486297108235,10000,20,200,5.613898252227481e-07,0.0007492595179393773,0.0007189508022730146,0.0006807827376665064,0.0007985479839332271,0.0005559284303023735,0.0009745036372174546,0.736464062705636,0.7321891237515956,0.7439347915351391,0.6826372717041522,0.6783623327501118,0.6901080005336553,0.0736464062705636,0.07321891237515957,0.07439347915351391,,,0.6818008746936436,0.8257123437939168,1.0475700040282128,1.023508673157298,1.284655119963916,1.1334262746045356
1,10,grid_short_uniform,0.47496956016576375,10000,20,200,4.369965265374233e-07,0.0006610571280437291,0.0006402162383598385,0.0006083939916630649,0.0006753640972257171,0.0005110283289486098,0.0008317400765427512,0.6485123751917854,0.643856042297557,0.6583542081061751,0.6484685832401738,0.6438122503459454,0.6583104161545634,0.06485123751917854,0.0643856042297557,0.06583542081061751,,,0.5307267795832973,0.7285099721920745,0.8154484326171816,0.9030218339648171,1.0,1.0
1,10,grid_selected_uniform,0.49226499651590583,10000,20,200,4.27696873937263e-07,0.0006539853774644071,0.000637392103927453,0.0006004509701082508,0.0007128703511155189,0.00044519365067537716,0.0008048239961184085,0.9209112511016428,0.9146245431620628,0.9299168321304023,0.6508201682008803,0.6445334602613002,0.6598257492296398,0.09209112511016429,0.09146245431620628,0.09299168321304023,,,0.5194324685853726,0.7207166354298842,0.7980950060424384,0.8933616322869695,0.9787191612852238,0.9893023609014708
2,1,default_uniform,1.0,49588,20,20,1.370603934776748e-07,0.0003702166844939255,0.0002401758417805556,0.00019644688718382412,0.0004711444350004554,0.0001222698425462209,0.0007234006725125249,0.3492930409265682,0.33224787493236363,0.3647423330694437,0.34928333305288106,0.3322381670586765,0.36473262519575655,0.3492930409265682,0.33224787493236363,0.3647423330694437,0.33561137466775254,1.0407663961698563,1.0,1.0,1.032327775981359,1.0160353222114666,1.8825766787896712,1.3720702164210368
2,1,point_short_uniform,0.75,50686,20,20,1.3276828994297034e-07,0.0003643738326814514,0.0003227524454623231,0.00025439566367384416,0.000432879340016815,0.0001400489651500135,0.0006085267164893789,0.35063018719665706,0.33700625016354024,0.38342970819212496,0.350624687038362,0.3370007500052452,0.3834242080338299,0.35063018719665706,0.33700625016354024,0.38342970819212496,0.33561038997890424,1.0447536717164714,0.9686845818416275,0.9842177512327379,1.0,1.0,1.8236230028781726,1.3504158629393288
2,1,point_selected_uniform,0.7305486297108235,40911,20,20,1.293715497757033e-07,0.0003596825680731599,0.0002911147294827601,0.00021766062310160875,0.00044705312993015853,0.00018531719117700985,0.0005814964579883011,0.34554929099977016,0.33478316594846547,0.37687983294017613,0.29172249999828637,0.28095637494698167,0.32305304193869233,0.34554929099977016,0.33478316594846547,0.37687983294017613,0.3356128972508945,1.0296067100825612,0.9439017829521708,0.9715460786561648,0.9744160283398537,0.9871251330707034,1.7769674836537466,1.3330294384047738
2,1,grid_short_uniform,0.47496956016576375,51117,20,20,7.280468042650586e-08,0.00026982342453261147,0.0002733493898769173,0.00018625608930185043,0.00032447207265733286,8.073891092181428e-05,0.00039281217026752743,0.34870070847682655,0.336263292003423,0.4652930009178817,0.3486569165252149,0.33621950005181134,0.4652492089662701,0.34870070847682655,0.336263292003423,0.4652930009178817,0.3356094349391526,1.0390074657467465,0.5311868628070495,0.7288256738116802,0.5483589527121167,0.7405126283272397,1.0,1.0
2,1,grid_selected_uniform,0.49226499651590583,10000,20,20,3.8474122770224457e-07,0.0006202751225885531,0.0005786139833750526,0.00041484615553381165,0.0006995756075432052,0.00029529484423735004,0.0010800747533670472,0.3391791448229924,0.33568962500430644,0.3466186239384115,0.06908806192222983,0.06559854210354388,0.07652754103764892,0.3391791448229924,0.33568962500430644,0.3466186239384115,0.3356139580719173,1.0106228798455132,2.8070926833061627,1.6754380571379424,2.8978397467309955,1.702304246229503,5.284567220793302,2.2988186576572978
2,10,default_uniform,1.0,13672,20,200,6.690295524277073e-07,0.0008179422671727555,0.0008345915371765673,0.0007506578560228078,0.0008657282752829133,0.0005578156790999011,0.0010417732650010066,0.9652876234613359,0.9307898317929357,1.0203287471085787,0.9652779155876487,0.9307801239192486,1.0203190392348915,0.09652876234613358,0.09307898317929357,0.10203287471085787,0.9253033249601722,1.0432120985871143,1.0,1.0,1.8262817488524532,1.351399921878218,2.1172497875027383,1.4550772445140974
2,10,point_short_uniform,0.75,13974,20,200,3.6633424872591155e-07,0.0006052555234988868,0.0006041873113996324,0.000551576777935639,0.0006385180147706442,0.00046348893330017864,0.0008462090995465345,0.9757441459223628,0.9354247923474759,1.017656625714153,0.9757386457640678,0.9354192921891809,1.017651125555858,0.09757441459223629,0.0935424792347476,0.10176566257141531,0.9252595605207606,1.0545626195671927,0.5475606382357768,0.7399734037354159,1.0,1.0,1.1593226449495624,1.0767184613210465
2,10,point_selected_uniform,0.7305486297108235,12652,20,200,3.710849633778465e-07,0.0006091674346005756,0.0006060321317387645,0.000537867706013143,0.0006600754803588798,0.0004901371749366194,0.0007463448512929312,0.9630415600258857,0.9282787081319839,1.0033659194596112,0.9092147690244019,0.8744519171305001,0.9495391284581274,0.09630415600258857,0.09282787081319839,0.10033659194596112,0.9252691454458982,1.0408231645526065,0.5546615422761082,0.7447560286940336,1.0129682514492095,1.0064632389954489,1.174357032520031,1.0836775500673763
2,10,grid_short_uniform,0.47496956016576375,14094,20,200,3.1598990179463747e-07,0.0005621297908798621,0.0005535694830865473,0.0005196307710161188,0.0005929714186496582,0.00048468209194817515,0.0006570766134136943,0.9703592080622911,0.9291014182381332,1.0280912918969989,0.9703154161106795,0.9290576262865216,1.0280474999453872,0.09703592080622911,0.09291014182381332,0.1028091291896999,0.9252667456199415,1.0487345542848157,0.4723108278969218,0.6872487380104251,0.8625726447735403,0.9287478908581922,1.0,1.0
2,10,grid_selected_uniform,0.49226499651590583,9999,20,200,4.1515091552434907e-07,0.0006443220588528295,0.0006371179934355473,0.0005888281590049882,0.0006719284705809277,0.0005365625958285657,0.0007796626129425869,0.954645604128018,0.9261556654237211,1.088127208640799,0.6845545212272555,0.6560645825229585,0.8180361257400364,0.0954645604128018,0.0926155665423721,0.10881272086407989,0.9252543117371388,1.0317656367747132,0.620527021591036,0.7877353753583979,1.1332571742014812,1.0645455247200475,1.313810704603328,1.1462158193827758
